Country,Total Trades,Average number of Trades,Sum of Trade Weights (kg),Average Trade Weight (kg),Total Trade Amount (USD),Average Trade Amount (USD),Income Group,Inflation Rate (%),GDP Growth Rate (%),Unemployment Rate (%),Interest Rate (%),Stock Index Value,Access to electricity (% of population),Agricultural land (% of land area),Annual CO2 combustion emissions at operating coal mines (Mt CO2),Annual CO2 combustion emissions at proposed coal projects (Mt CO2),Annual methane emissions at operating coal mines (Mt CO2e 100 years),Annual methane emisssions at proposed coal projects (Mt CO2e 100 years),Arable land (% of land area),Capacity of Liquefied Natural Gas export terminals (Mt per year) - Operating,Capacity of Liquefied Natural Gas import terminals (Mt per year) - Operating,"Central government debt, total (% of GDP)",Coal rents (% of GDP),Electricity net consumption,Electricity net generation,Gas pipeline capacity by project status (barrels of oil equivalent per day) - Operating,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Gini index (World Bank estimate),Government Effectiveness: Estimate,Lifetime CO2 emissions from coal plants (Mt CO2),"Literacy rate, adult total (% of people ages 15 and above)",Mineral rents (% of GDP),Natural gas rents (% of GDP),Oil pipeline capacity by project status (barrels of oil equivalent per day) - Operating,Oil rents (% of GDP),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Share of surface occupied by forest (% of total),Tax revenue (% of GDP),Total coal capacity by plant status (MW) - Operating,Total natural resources rents (% of GDP),Total steelmaking capacity (thousand tonnes per annum),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),2025 [2025] Old Exchange rate,2025M01 [2025M01] New Exchange Rate,Continent,Country/Region,Population,Trade Balance
bangladesh,4206443.0,233691.2777777778,36169.0,2127.588235294118,3066874.0,170381.8888888889,Lower middle income,,,,,,96.1999969482422,76.06207267419528,0.0,46.0,0.0,2.0,61.45809326265652,0.0,8.5,0.0,0.0104387696968792,0.0,75.47871972837,2146083.0,790167077593.7358,10.38669654392922,4773.391414875901,0.0,-1.382458806037903,2420.091,74.9088973999023,0.0,0.206829788464695,25783.4,0.0097279475743229,0.0,14.46877160636091,7.001536523218406,1185.0,0.318967548680135,0.0,20.47800016403197,240.519,121.5493636,121.5493636,Asia,Bangladesh,173858000,3030705.0
barbados,574229.216,22085.73907692308,311319.019,5986.904211538461,5456070.5,92475.77118644067,High income,,,,,,100.0,23.25581395348837,0.0,0.0,0.0,0.0,16.27906976744186,0.0,0.0,0.0,0.0,0.0,0.9704742975154,0.0,9590334961.75956,-12.58134966358281,33352.68529158396,0.0,1.020656585693359,0.0,0.0,0.0,0.0014673690737413,0.0,0.20502687338793,0.0,14.65116279069768,0.0,0.0,0.221262259307958,0.0,39.63700008392331,188.428,2,2,North America,Barbados,281000,5144751.481
belarus,97074015.0,2257535.23255814,1020989.658,21723.18421276595,29054685.0,618184.7872340425,Upper middle income,,,,,,100.0,40.79712286924821,0.0,0.0,0.0,0.0,27.88452064242782,0.0,0.0,0.0,0.0,0.0,36.0619,497371.0,129708405378.9438,1.60674234775135,13859.12308416199,24.4,-1.569315075874328,226.0,0.0,0.0,0.0218760436163244,285376.0,0.518522930897615,1.3,43.1944033894965,12.02290719905691,0.0,1.69851918264026,3000.0,18.55700016021729,483.084,..,..,Europe,Belarus,9200000,28033695.342
belgium,935474842.669,30176607.82803226,24914148.424,508452.0086530612,1593494826.84,31869896.5368,High income,,,,,,100.0,45.066357331572,0.0,0.0,0.0,0.0,28.56263540290621,0.0,6.6,120.2345790405889,0.0,81.1713,85.2743,395711.0,1121555967512.142,0.563988291143815,96957.15547267724,0.0,2.24123418331146,169.0,0.0,0.0,3.44583489217177e-05,0.0,0.0,0.0,22.76420079260238,22.11901303063178,0.0,0.0162595589029317,7500.0,23.97000026702881,589.02,0.966439652,0.966439652,Europe,Belgium,11766000,1568580678.416
belize,60410.0,7551.25,188798.766,6090.282774193549,1060030.66,33125.958125,Upper middle income,,,,,,97.1133346557617,7.540552389302937,0.0,0.0,0.0,0.0,3.94563787812363,0.0,0.0,0.0,0.0,0.0,0.59737042755731,0.0,3375554934.376095,-6.996966267170436,8408.28796845807,0.0,-1.057691156864167,0.0,0.0,0.0,0.0,0.0,0.399593656555749,0.0,55.9864094695309,0.0,0.0,0.829193635001881,0.0,31.98199939727784,279.153,..,..,North America,Belize,444000,871231.8939999999
benin,4801.0,800.1666666666666,24237.54,969.5016,476938.0220000001,16446.13868965517,Lower middle income,,,,,,41.4109573364258,35.03015253636041,0.0,0.0,0.0,0.0,24.83150053210358,0.0,0.0,0.0,0.0,0.52408,0.22608,6553.0,33437185410.65949,10.44879341158267,2719.488148867655,0.0,-0.467208728194236,0.0,0.0,0.0,0.0,0.0,0.0674458728334573,0.0,27.80374246186591,0.0,0.0,2.32162334142658,0.0,5.963999986648551,298.931,..,..,Africa,Benin,14603000,452700.48200000013
bhutan,15825.0,1978.125,140230.0,17528.75,757076.0,94634.5,Lower middle income,,,,,,100.0,13.45044572627163,0.0,0.0,0.0,0.0,2.464604090194022,0.0,0.0,117.8237272931067,0.0,0.0,8.95203797854276,0.0,2315436303.299883,-10.07634115531977,3000.777985956521,0.0,1.241638660430908,0.0,0.0,0.130808218097491,0.0,0.0,0.0,0.0,71.44939695857367,13.03890852895916,0.0,2.88398062973872,0.0,16.41799950599671,263.996,86.25609091,86.25609091,Asia,Bhutan,777000,616846.0
botswana,669204.8,18086.61621621622,1266962.926,31674.07315,5240941.782000001,127827.8483414634,Upper middle income,,,,,,71.994758605957,45.63372328974997,0.0,13.0,0.0,0.0,0.4587722548656327,0.0,0.0,19.65585625510474,0.27569408262721,0.0,2.05044,0.0,32543919272.00002,2.637726022155974,13696.38469997577,0.0,0.553622752428055,1811.0,0.0,0.0901045309278867,0.0,0.0,0.0,0.0,26.91705044730295,22.31981169526297,732.0,0.678482792828235,0.0,96.5270004272461,435.111,13.9424829,13.9424829,Africa,Botswana,2630000,3973978.8560000006
brazil,1209958471.854,22829405.12932076,10544018.265,210880.3652999999,650624784.0,12048607.11111111,Upper middle income,5.040416666666668,2.9725,6.819791666666667,4.230416666666667,23454.4725,100.0,28.34109036220978,0.0,8.0,0.0,0.0,6.671580040535334,0.0,9.6,100.5866373453839,0.0061968429596929,540.99734,622.00634,491210.0,3060000000000.0,0.7407452863842963,14333.7099162961,48.9,-0.8979020416736601,1700.0,0.0,1.15390221358331,0.0406174564596599,0.0,1.84932805448523,18.7,59.41747805133678,12.96121956902962,3149.0,3.99116095210967,46200.0,54.79099941253671,525.9870000000001,6.035452381,6.035452381,South America,Brazil,216422000,640080765.735
bulgaria,103491598.0,1990223.038461538,1860310.131,33219.82376785715,49766629.919,888689.8199821429,High income,,,,,,99.6999969482422,46.49042004421518,33.0,0.0,1.0,0.0,32.16654384672071,0.0,0.0,32.41036906985261,0.0714551139579444,0.0,37.04,447937.0,150160466859.5399,-0.2092762496163516,21714.17439944474,0.0,-0.321914568543434,716.0,0.0,0.299915317064997,0.0049703972974475,0.0,0.0130064500047004,0.0,35.86035372144436,20.36935855362444,4829.0,0.587943699302687,1400.0,19.92299938201903,459.185,1.889954545,1.889954545,Europe,Bulgaria,6447000,47906319.788
burkina faso,319.0,106.3333333333333,271750.489,10451.94188461538,922087.269,35464.89496153846,Low income,,,,,,18.957239151001,44.38230994152047,0.0,0.0,0.0,0.0,21.92982456140351,0.0,0.0,72.53160890203523,0.0,0.0,1.6051331736536,0.0,37671221467.54353,8.836666562950413,1776.085311571683,0.0,-1.402330279350281,0.0,0.0,4.38735041289017,0.0,0.0,0.0,0.0,22.72076023391813,13.2753560785655,0.0,8.96317006468082,0.0,18.91300010681151,193.227,..,..,Africa,Burkina Faso,24799000,650336.78
burundi,41351.0,3180.846153846154,1092302.959,49650.1345,1652786.139,68866.089125,Low income,,,,,,11.7355556488037,79.16666666666666,0.0,0.0,0.0,0.0,46.72897196261682,0.0,0.0,0.0,0.0,0.0,0.35052074794115,0.0,5682540010.467765,2.122456890742313,470.6329244717644,0.0,-2.61235356330871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.88940809968847,0.0,0.0,12.4085159262879,0.0,6.59900009632111,87.67099999999999,2928.765136,2928.765136,Africa,Burundi,14145000,560483.1799999999
cabo verde,837.0,119.5714285714286,13571.0,387.7428571428571,912435.958,24660.4312972973,Lower middle income,,,,,,86.4000015258789,32.79515069113981,0.0,1.0,0.0,0.0,21.95785180149558,0.0,0.0,0.0,0.0,0.0,7.6601860407567,17239.0,52833859131.98942,-0.0696173678344393,3138.468047217321,0.0,-0.814638495445251,1358.0,0.0,0.0,0.0,0.0,0.157827482777123,0.0,45.70796510310446,17.88511336717549,655.0,1.01647596716402,3100.0,1.910999983549118,152.129,..,..,Africa,Cabo Verde,593000,898864.958
cambodia,423603.0,60514.71428571428,33231.464,1954.792,2278662.25,126592.3472222222,Lower middle income,,,,,,64.7213668823242,20.62575363330583,0.0,0.0,0.0,0.0,13.1158638488714,2.4,0.0,0.0,0.0,0.0,8.7424914746643,0.0,86043063205.84914,3.978513982675281,3198.832323598055,0.0,-1.775450587272644,0.0,0.0,0.0,0.328415829192331,179985.6,1.7314143892434,0.0,43.02951069365996,0.0,0.0,4.67837128338707,0.0,15.10999989509582,354.112,..,..,Asia,Cambodia,17168000,2245430.786
cameroon,67056.0,11176.0,1018325.065,24837.19670731707,15106416.763,359676.5895952381,High income,,,,,,100.0,6.440513117374317,104.0,97.0,4.0,6.0,4.264638467741666,0.0,7.5,72.08582340476825,0.0530233330958968,539.695,630.032,5045875.0,3636185017233.593,-0.6701304401733239,95309.61533626945,0.0,3.23907911777496,324.0,0.0,0.252034221219089,0.0372497339384854,9190709.1,1.08793463855046,0.0,38.69551250949463,13.29503290791403,8333.2,1.4957811159159,14000.0,28.77799987792969,490.917,..,..,Africa,Cameroon,28524000,14088091.698
canada,683802349.0,9497254.847222222,44562832.294,768324.6947241379,2576082418.389,33895821.2945921,High income,4.986382978723404,1.179787234042553,6.927021276595746,4.716382978723403,21596.55106382979,100.0,11.25,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.6838273,0.0,5608989195.529198,-5.683975211705913,85346.76195266582,0.0,2.41151940822602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,600.0,1.439636364,1.439636364,North America,Canada,39293000,2531519586.095
